text,label,speaker
"Yeah,",aa,B
"and I said, ooh, I want to see it so bad.",sd,B
"but, what you do is you just build up the pressure",sd,B
"and it was so interesting because they were relating the war to these children in their studio,",sv,A
Uh-huh.,b,A
Oh.,b,A
"And, uh, I, as far as a high school course, I could see it as, uh, maybe a social, uh, sociology course to where a student would get credits if they were to be involved with some kind of community type of program",sv,A
and the aerobics isn't too boring.,sv,A
"but, Bermuda seems to be,",%,B
"and he, he had all kinds of horror stories.",sd,A
and then I'd bring her to my house for a couple of hours if I wanted too or whatever.,sd,A
"the one I had most recently was, was one that, was,",sd,B
Bad you know.,%,B
Uh-huh.,b,A
"and, uh, for a four year old to think Bart Simpson is a hero is tragic",sv,B
"and they,",%,A
"Of course they raise them now, you know, to eat.",sd,A
"Uh, let's see,",^h,B
"Yeah,",aa,B
"uh-huh,",aa,B
and I got a call yesterday,sd,B
"and they were set up with two buffets, one for their regular Sunday chicken and roast beef and vegetables and everything. And then one complete seafood buffet.",sd,A
"Well, uh, if you, You know, compare the figures, I think that's where they're, uh, they're coming from.",sv,B
but give them life in jail,sd,B
"But then, what's the interest?",qw,B
"Oh, I thought it was just like marijuana or cocaine.",sv,A
it's been too nice all weekend.,sv,B
"so I went to a, a pet shop,",sd,A
"huge amounts, thousand and millions and millions of dollars are getting spent, you know, on higher and higher up, on drugs,",sv,B
and so she's phasing out ounds like,sd,A
"it, once it hits the top of the liquid it seems to make little balls and stuff on the top.",sd,A
"So it's hard to tell how much of that rubs off on those who are struggling to to retain, uh, clarity, say, uh, know",sd,A
"Well, what do you think about like a device, a meter right on a tail pipe",qw,B
"so we've got to where we will sit,  and watch it on Monday night,",sd,A
I'm a what they call a full timer,sd,B
How can you really deal with an environment where you're going to lose everything.,qh,A
"Oh, yeah",aa,A
and I saw how life was when she stayed home,sd,B
Right.,b,B
"I wouldn't even mind being not so much being first but just, uh, get out there and, and just explore.",sd,B
Remind me of that now that you mention it,sd,B
Huh.,%,B
"So, that's, that's kind of a drawback I think.",sv,A
Uh-huh.,b,A
"I think it was like,",sd,A
yeah.,b,A
there are things I should do.,sv,B
yeah.,%,B
Yeah.,b,A
"You just have to give it, everything away.",sv,B
"and if we want, well in our area, if we want to use it, we have to, you know, like you said, you had to change it, put it on a disc, And carry it over to there, and see if they're not using the printer,",sd,A
"That is, because, well,",%,B
It's,%,B
Uh-huh.,b,A
Right.,b,B
"Uh,",%,A
"so he took it into a shop and had it uh, resurfaced and, and fixed that way.",sd,B
Oh.,b,A
"and so, uh, it's fully deductible.",sd,A
"Uh, football fans are probably the most fickle people in the world.",sv,B
"We have so far,",sv,B
"But I don't know, uh,",h,B
Right.,bk,A
"Uh, one of the books that I bought, where it's describing the sponge painting, said you can like layer different colors",sd,B
Right.,b,B
"Uh, there's a lake like maybe two or three miles from here,",sd,B
That sounds fun.,ba,A
I use to do a lot more and sell at craft shows.,sd,A
Uh-huh.,b,A
"I said my goodness, what is it, lined in gold, you know, uh.",sd,A
we stayed mostly in state parks,sd,A
"And if they can't come up with something by the fifteenth, then the state's supposed to decide, the courts.",sd,B
"Yeah,",b,A
it is.,sd,A
Sure.,b,B
"but, you know, when I was a kid Mom was always at home.",sd,B
"the children thoroughly enjoy,",sd,A
